edge_276	AJ863570.1	0.0937829	0	75/1000
edge_570	AJ863570.1	0.0931964	0	76/1000
edge_276	AM261282.1	0.0926182	0	77/1000
edge_244	AP014876.1	0.0315792	0	347/1000
edge_283	AP014876.1	0.0987984	0	67/1000
edge_1735	AP014876.1	0.0898429	0	82/1000
edge_244	AP014877.1	0.0460045	0	235/1000
edge_247	AP014877.1	0.0955937	0	72/1000
edge_1735	AP014877.1	0.0914855	0	79/1000
edge_2461	AP017893.1	0.0637124	0	151/1000
edge_2464	AP017893.1	0.0379382	0	291/1000
edge_2866	AP017893.1	0.0706202	0	128/1000
edge_244	AP018353.1	0.0336937	0	327/1000
edge_244	AP018354.1	0.0494626	0	215/1000
edge_819	AP018354.1	0.0955937	0	72/1000
edge_4002	AP018355.1	0.0194991	0	497/1000
edge_2088	AP018411.1	0.0310744	0	352/1000
edge_4002	AP018412.1	0.0154006	0	567/1000
edge_556	AP018454.1	0.0545702	0	189/1000
edge_570	AP018454.1	0.0968463	0	70/1000
edge_1085	AP018454.1	0.0613264	0	160/1000
edge_556	AP018455.1	0.0605648	0	163/1000
edge_1085	AP018455.1	0.0642645	0	149/1000
edge_244	AP018456.1	0.0498292	0	213/1000
edge_247	AP018456.1	0.0811785	0	100/1000
edge_341	AP018456.1	0.0872439	0	87/1000
edge_819	AP018456.1	0.0909306	0	80/1000
edge_3936	AP018456.1	0.0887833	0	84/1000
edge_244	AP018457.1	0.0572108	0	177/1000
edge_247	AP018457.1	0.0590885	0	169/1000
edge_341	AP018457.1	0.0613264	0	160/1000
edge_244	AP018458.1	0.0451943	0	240/1000
edge_247	AP018458.1	0.0699663	0	130/1000
edge_341	AP018458.1	0.0737105	0	119/1000
edge_3887	AP018707.1	0.0368186	0	300/1000
edge_3887	AP018708.1	0.0366967	0	301/1000
edge_2825	AP018710.1	0.0324062	0	339/1000
edge_244	AP019526.1	0.0751681	0	115/1000
edge_247	AP019526.1	0.0662649	0	142/1000
edge_341	AP019526.1	0.0690061	0	133/1000
edge_3936	AP019526.1	0.0726524	0	122/1000
edge_244	AP019705.1	0.0465005	0	232/1000
edge_1735	AP019705.1	0.0955937	0	72/1000
edge_3370	AP019710.1	0.0191812	0	502/1000
edge_1466	AP020334.1	0.0898429	0	82/1000
edge_4015	AP020334.1	0.0898429	0	82/1000
edge_555	AP022349.1	0.022205	0	457/1000
edge_3147	AP022349.1	0.0943778	0	74/1000
edge_555	AP022350.1	0.041003	0	268/1000
edge_3147	AP022350.1	0.0937829	0	75/1000
edge_570	AP022352.1	0.0807479	0	101/1000
edge_932	AP022352.1	0.0645437	0	148/1000
edge_934	AP022352.1	0.0696435	0	131/1000
edge_1663	AP022352.1	0.0994698	0	66/1000
edge_244	AP022353.1	0.0399018	0	276/1000
edge_247	AP022353.1	0.0920479	0	78/1000
edge_3781	AP022353.1	0.0751681	0	115/1000
edge_244	AP022354.1	0.0605648	0	163/1000
edge_555	AP022354.1	0.0455159	0	238/1000
edge_244	AP022355.1	0.0593303	0	168/1000
edge_555	AP022355.1	0.047688	0	225/1000
edge_244	AP022357.1	0.0931964	0	76/1000
edge_247	AP022357.1	0.0794837	0	104/1000
edge_341	AP022357.1	0.0519203	0	202/1000
edge_3614	AP022357.1	0.0887833	0	84/1000
edge_382	AP022358.1	0.0974869	0	69/1000
edge_555	AP022358.1	0.0631684	0	153/1000
edge_1055	AP022358.1	0.0903831	0	81/1000
edge_244	AP022359.1	0.052714	0	198/1000
edge_247	AP022359.1	0.0774628	0	109/1000
edge_341	AP022359.1	0.0838645	0	94/1000
edge_555	AP022359.1	0.0533217	0	195/1000
edge_244	AP022361.1	0.0533217	0	195/1000
edge_247	AP022361.1	0.0680698	0	136/1000
edge_3936	AP022361.1	0.0920479	0	78/1000
edge_244	AP022363.1	0.0525139	0	199/1000
edge_247	AP022363.1	0.0677629	0	137/1000
edge_1925	AP022363.1	0.0987984	0	67/1000
edge_3936	AP022363.1	0.0920479	0	78/1000
edge_244	AP022366.1	0.0507636	0	208/1000
edge_247	AP022366.1	0.0642645	0	149/1000
edge_1925	AP022366.1	0.0981375	0	68/1000
edge_555	AP022367.1	0.035505	0	311/1000
edge_1925	AP022367.1	0.0877506	0	86/1000
edge_244	AP022368.1	0.0531179	0	196/1000
edge_247	AP022368.1	0.0686914	0	134/1000
edge_3936	AP022368.1	0.0920479	0	78/1000
edge_244	AP022369.1	0.0535266	0	194/1000
edge_247	AP022369.1	0.0693234	0	132/1000
edge_3936	AP022369.1	0.0926182	0	77/1000
edge_555	AP022370.1	0.0656822	0	144/1000
edge_244	AP023221.1	0.0439391	0	248/1000
edge_247	AP023221.1	0.0909306	0	80/1000
edge_696	AP023221.1	0.0726524	0	122/1000
edge_2200	AP023221.1	0.0931964	0	76/1000
edge_940	AP023222.1	0.0187432	0	509/1000
edge_244	AP023225.1	0.0786628	0	106/1000
edge_247	AP023225.1	0.0834041	0	95/1000
edge_281	AP023225.1	0.0955937	0	72/1000
edge_341	AP023225.1	0.0898429	0	82/1000
edge_819	AP023225.1	0.0824989	0	97/1000
edge_2088	AP023229.1	0.0331502	0	332/1000
edge_244	AP023231.1	0.0411434	0	267/1000
edge_698	AP023231.1	0.0740698	0	118/1000
